Country,Customer_ID,Description,Invoice_Date,Item_Code,Invoice_ID,No_of_Rows,Unit_Price,Quantity,Sales_Amount
United Kingdom,17841,SET OF 3 REGENCY CAKE TINS,20-07-2011,23245,560711,1,4.95,1,4.95
United Kingdom,17277,RIBBON REEL HEARTS DESIGN,21-01-2011,22079,541784,1,1.65,4,6.6
United Kingdom,17365,SWIRLY CIRCULAR RUBBERS IN BAG,11/1/2011,16258A,540798,1,0.42,12,5.04
United Kingdom,13089,PACK OF 6 SKULL PAPER CUPS,13-01-2011,21987,540994,1,0.65,12,7.8
Germany,12474,POSTAGE,18-03-2011,POST,547005,1,18.0,4,72.0
United Kingdom,15039,SET 20 NAPKINS FAIRY CAKES DESIGN,16-05-2011,22851,553229,1,0.85,2,1.7
United Kingdom,17220,BALLOONS  WRITING SET,31-01-2011,21328,542646,1,1.65,3,4.95
United Kingdom,14684,PINK FLORAL FELTCRAFT SHOULDER BAG,8/5/2011,20970,552285,1,3.75,1,3.75
United Kingdom,14472,BUNNY EGG BOX,27-02-2011,85200,545054,1,1.25,6,7.5
United Kingdom,13263,DOORMAT KEEP CALM AND COME IN,25-05-2011,23284,554598,1,7.95,1,7.95
Spain,12507,12 PENCIL SMALL TUBE WOODLAND,14-02-2011,20973,543822,1,0.65,24,15.6
United Kingdom,16919,PING MICROWAVE APRON,27-04-2011,22123,551282,1,1.95,3,5.85
United Kingdom,16938,WHITE HANGING HEART T-LIGHT HOLDER,4/2/2011,85123A,543174,1,2.95,12,35.4
United Kingdom,13694,CHILDRENS APRON SPACEBOY DESIGN,4/3/2011,22367,545582,1,1.65,50,82.5
United Kingdom,17218,HOME SWEET HOME MUG,9/5/2011,21877,552528,1,1.25,6,7.5
United Kingdom,17337,MAGIC DRAWING SLATE CIRCUS PARADE,2/2/2011,22531,543040,1,0.42,1,0.42
United Kingdom,14049,12 PENCILS SMALL TUBE SKULL,23-05-2011,20974,554151,1,0.65,12,7.8
United Kingdom,16558,STRAWBERRY FAIRY CAKE TEAPOT,11/3/2011,22649,546315,1,4.95,8,39.6
EIRE,14016,BINGO SET,16-05-2011,21888,553210,1,3.75,8,30.0
United Kingdom,14701,VINTAGE UNION JACK APRON,18-03-2011,21625,546944,1,6.95,2,13.9
United Kingdom,13093,MULTICOLOUR HONEYCOMB PAPER GARLAND,6/1/2011,21200,540357,1,0.65,48,31.2
United Kingdom,16609,LUNCH BAG RED RETROSPOT,27-07-2011,20725,561488,1,1.65,10,16.5
United Kingdom,15104,ROUND CAKE TIN VINTAGE RED,27-05-2011,22840,554917,1,7.95,2,15.9
United Kingdom,13824,RED TOADSTOOL LED NIGHT LIGHT,2/2/2011,21731,543008,1,1.65,12,19.8
Germany,12480,ROUND SNACK BOXES SET OF4 WOODLAND,17-03-2011,22326,546851,1,2.95,6,17.7
United Kingdom,17058,ENAMEL BREAD BIN CREAM,14-04-2011,22424,550000,1,12.75,2,25.5
United Kingdom,14298,JUMBO BAG OWLS,21-07-2011,20713,560843,1,1.65,60,99.0
United Kingdom,15596,CERAMIC STRAWBERRY DESIGN MUG,3/3/2011,22059,545522,1,1.49,12,17.88
United Kingdom,15996,COFFEE MUG DOG + BALL DESIGN,27-02-2011,22300,545071,1,2.55,6,15.3
United Kingdom,17962,YOU'RE CONFUSING ME METAL SIGN,20-07-2011,21169,560726,1,1.69,1,1.69
United Kingdom,16771,WRAP DAISY CARPET,9/3/2011,16169M,546117,1,0.42,25,10.5
United Kingdom,13408,WATERING CAN BLUE ELEPHANT,12/7/2011,22431,559818,1,1.65,48,79.2
United Kingdom,13988,WRAP DAISY CARPET,30-03-2011,16169M,548289,1,0.42,25,10.5
United Kingdom,17781,RED HEART SHAPE LOVE BUCKET,3/7/2011,21563,558773,1,2.95,1,2.95
United Kingdom,17841,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,21-04-2011,22773,550829,1,1.25,1,1.25
United Kingdom,18145,PINK BLUE FELT CRAFT TRINKET BOX,31-01-2011,20971,542662,1,1.25,12,15.0
United Kingdom,14998,HAND WARMER RED RETROSPOT,12/4/2011,22632,549906,1,2.1,1,2.1
United Kingdom,14854,"KEY FOB , GARAGE DESIGN",26-04-2011,21899,551085,1,0.65,24,15.6
United Kingdom,15493,SET/5 RED RETROSPOT LID GLASS BOWLS,14-03-2011,20914,546498,1,2.95,1,2.95
United Kingdom,15757,FELTCRAFT GIRL AMELIE KIT,6/5/2011,23126,552121,1,4.95,4,19.8
United Kingdom,17921,VICTORIAN GLASS HANGING T-LIGHT,14-07-2011,22178,560104,1,1.25,18,22.5
United Kingdom,14817,MIRRORED WALL ART SPLODGES,7/3/2011,21369,545854,1,3.75,4,15.0
